no,country,league,rating,nextgame,sezonul,games,home_val,draw_val,away_val,over_val,under_val,gg_val,ng_val,game1st,std1st,sco1st,stdsco,con1st,stdcon,gsco_val,grec_val,suth_val,suta_val,sutht_val,sutat_val,corh_val,cora_val,foulsh_val,foulsa_val,ycardh_val,ycarda_val,ballph_val,ballpa_val
1,England 01018,Arsenal,1966,13/12/25 : H : Wolves,,15,66.67,20,13.33,40,60,40,60,35,19,44,23,43,21,1.87,0.6,12.8,9.4,4.07,3.53,4.6,4.6,9.73,11.33,0.87,1.87,52.67,47.33
2,England 01009,Man City,1945,14/12/25 : A : C Palace,,15,66.67,6.67,26.67,66.67,33.33,46.67,53.33,26,17,26,19,48,21,2.33,1.07,13.13,10.53,5.47,3.13,6.53,3.73,10.4,10.4,1.33,2.13,52,48
3,England 01003,Aston Villa,1895,14/12/25 : A : West Ham,,15,60,20,20,53.33,46.67,46.67,53.33,27,21,40,15,31,28,1.47,1,12.93,11.6,4.53,3.73,5,5.07,11.47,12.87,1.8,2.2,47.33,52.67
4,England 01012,C Palace,1849,14/12/25 : H : Man City,,15,46.67,33.33,20,46.67,53.33,46.67,53.33,32,15,36,16,51,23,1.33,0.8,12.47,10.27,4.07,3.53,4.87,4.2,9.87,10.87,1.4,2.33,51,49
5,England 01019,Chelsea,1814,13/12/25 : H : Everton,,15,46.67,26.67,26.67,60,40,53.33,46.67,28,17,39,20,35,26,1.67,1,12.47,11.53,4.27,4,5.93,3.6,11.73,12.53,1.67,2.73,48.87,51.13
6,England 01017,Everton,1759,13/12/25 : A : Chelsea,,15,46.67,20,33.33,40,60,40,60,30,26,38,27,38,26,1.2,1.13,14.27,9.27,4,3.27,5.73,3.73,10.73,12.07,2,2.07,54.13,45.87
7,England 01002,Liverpool,1820,13/12/25 : H : Brighton,,15,46.67,13.33,40,66.67,33.33,60,40,38,27,59,23,37,26,1.6,1.6,13.93,12.67,4.6,3.87,5.33,5,10.6,10.73,1.73,2.13,49.27,50.73
8,England 01020,Man Utd,1743,15/12/25 : H : Bournemouth,,15,46.67,26.67,26.67,66.67,33.33,73.33,26.67,26,16,30,18,52,27,1.73,1.47,15.53,11.4,5.2,3.93,5,4.2,10.93,11.2,1.73,2.2,51.67,48.33
9,England 01059,Brentford,1727,14/12/25 : H : Leeds,,15,40,6.67,53.33,60,40,60,40,28,23,40,28,40,26,1.4,1.6,11.73,10.6,4.53,3.4,4.67,5.53,9.53,10.13,2,2.07,45.8,54.2
10,England 01036,Brighton,1804,13/12/25 : A : Liverpool,,15,40,33.33,26.67,60,40,73.33,26.67,30,18,52,28,41,24,1.67,1.4,13.2,11.87,4.73,4.07,4.67,5.27,10.87,11.27,2.07,2.53,49.2,50.8
11,England 01016,Newcastle,1794,14/12/25 : A : Sunderland,,15,40,26.67,33.33,66.67,33.33,66.67,33.33,34,21,39,24,61,19,1.4,1.27,12.8,10.53,4.93,3.6,6.8,5.27,9.8,11.93,1,2.07,47.33,52.67
12,England 01021,Sunderland,1586,14/12/25 : H : Newcastle,,15,40,33.33,26.67,40,60,46.67,53.33,40,27,47,22,43,30,1.2,1.13,14.53,10.33,4.53,3.2,5,3.33,10.27,10.07,1.8,1.6,51.4,48.6
13,England 01001,Tottenham,1718,14/12/25 : A : Nottingham,,15,40,26.67,33.33,66.67,33.33,53.33,46.67,27,19,44,27,32,20,1.67,1.2,11.67,9.67,4,3.6,5.8,5.8,10.27,10.27,1.93,2.07,53.67,46.33
14,England 01063,Bournemouth,1708,15/12/25 : A : Man Utd,,15,33.33,33.33,33.33,60,40,53.33,46.67,26,23,30,26,42,21,1.4,1.6,14.27,10.2,5.8,3.6,5.47,4.27,11.53,12.4,2.13,2.6,53.33,46.67
15,England 01010,Fulham,1669,13/12/25 : A : Burnley,,15,33.33,13.33,53.33,53.33,46.67,60,40,40,28,50,31,43,19,1.33,1.6,13.13,9.53,4.4,3.47,5.67,4.53,10.93,11.87,1.4,1.8,53.8,46.2
16,England 01035,Leeds,1640,14/12/25 : A : Brentford,,15,26.67,20,53.33,73.33,26.67,60,40,27,28,34,27,36,28,1.27,1.93,14.07,10.07,5,3.13,4.4,3.13,11.87,11.53,1.8,1.67,48.2,51.8
17,England 01037,Nottingham,1669,14/12/25 : H : Tottenham,,15,26.67,20,53.33,53.33,46.67,33.33,66.67,35,24,33,25,40,23,0.93,1.67,14,11.4,4.4,4.47,6.2,4.2,12.47,10.67,1.73,1.8,51.2,48.8
18,England 01030,Burnley,1571,13/12/25 : H : Fulham,,15,20,6.67,73.33,53.33,46.67,53.33,46.67,32,24,48,27,35,25,1.07,2,12.47,11.93,4.47,4.2,4.6,5.2,10.13,9.2,1.27,1.6,50.13,49.87
19,England 01022,West Ham,1620,14/12/25 : H : Aston Villa,,15,20,26.67,53.33,60,40,60,40,39,25,54,29,41,24,1.13,1.93,13.67,12.27,4.6,4.4,6.47,5.87,10.73,10.2,1.53,1.73,51,49
20,England 01031,Wolves,1460,13/12/25 : A : Arsenal,,15,0,13.33,86.67,46.67,53.33,40,60,32,23,32,16,40,28,0.53,2.2,12.13,10.8,4,3.87,5.13,4.27,12.53,11.93,1.33,2.27,51.87,48.13
