league,matches,ou_over_roi,ou_over_bets,ou_under_roi,ou_under_bets,btts_yes_roi,btts_yes_bets,btts_no_roi,btts_no_bets
Bundesliga,135,-6.303571428571431,56,9.085714285714305,35,2.009345794392502,107,36.499999999999986,10
Championship,275,4.2234042553191475,94,-8.064102564102573,78,19.90740740740741,54,-6.323529411764694,102
Eredivisie,153,-4.0163934426229435,61,-18.488372093023262,43,9.796747967479684,123,-26.875000000000004,8
Liga 1,144,14.439024390243906,41,10.928571428571436,28,-20.714285714285715,14,3.1034482758620885,87
Ligue 1,144,-19.288135593220343,59,2.0526315789473717,38,-7.5,80,18.69565217391303,23
Ligue 2,153,-5.902439024390247,41,-0.9393939393939463,33,23.333333333333357,30,2.457627118644061,59
Premier L,171,7.582089552238804,67,-10.02083333333334,48,1.750000000000007,80,8.333333333333332,36
Primeira L,135,-13.071428571428559,42,-30.44117647058823,34,-38.33333333333332,9,17.906976744186053,86
Primera,172,-2.619047619047628,63,12.719999999999999,50,-4.696969696969699,33,10.421686746987959,83
Serie A,156,-4.4347826086956506,46,-10.767123287671232,73,-63.0,5,-0.3007518796992524,133
Serie B,171,4.111111111111122,36,-8.304347826086952,69,32.142857142857146,7,-12.175572519083971,131
Super Lig,154,-6.162162162162165,37,13.430769230769238,65,5.71428571428572,56,0.6451612903225669,31
