date,home,away,market,outcome,prob,fair_odds,odds,edge,EV
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,0-3,0.7507717928756857,1.3319626676032859,3.0,0.4174384595423524,1.252315378627057
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,0-3,0.7507717928756857,1.3319626676032859,3.0,0.4174384595423524,1.252315378627057
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,0-3,0.7507717928756857,1.3319626676032859,3.0,0.4174384595423524,1.252315378627057
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,1-3,0.6345204547328251,1.5759933230538103,3.0,0.30118712139949183,0.9035613641984754
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,1-3,0.6345204547328251,1.5759933230538103,3.0,0.30118712139949183,0.9035613641984754
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,1-3,0.6345204547328251,1.5759933230538103,3.0,0.30118712139949183,0.9035613641984754
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,2-5,0.6018219438613759,1.6616210329318613,3.0,0.26848861052804257,0.8054658315841277
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,2-5,0.6018219438613759,1.6616210329318613,3.0,0.26848861052804257,0.8054658315841277
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,2-5,0.6018219438613759,1.6616210329318613,3.0,0.26848861052804257,0.8054658315841277
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,2-4,0.534324048912607,1.8715234735084103,3.0,0.20099071557927367,0.6029721467378208
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,2-4,0.534324048912607,1.8715234735084103,3.0,0.20099071557927367,0.6029721467378208
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,2-4,0.534324048912607,1.8715234735084103,3.0,0.20099071557927367,0.6029721467378208
2025-12-14 16:15:00,Strasbourg,Lorient,OU 3.5,Under,0.7507717928756857,1.3319626676032859,1.9,0.5841051262090191,0.42646640646380285
2025-12-14 16:15:00,Strasbourg,Lorient,OU 3.5,Under,0.7507717928756857,1.3319626676032859,1.9,0.5841051262090191,0.42646640646380285
2025-12-14 16:15:00,Strasbourg,Lorient,OU 3.5,Under,0.7507717928756857,1.3319626676032859,1.9,0.5841051262090191,0.42646640646380285
2025-12-14 16:15:00,Strasbourg,Lorient,OU 1.5,Over,0.66466365002018,1.5045203690161764,1.9,0.49799698335351333,0.26286093503834196
2025-12-14 16:15:00,Strasbourg,Lorient,OU 1.5,Over,0.66466365002018,1.5045203690161764,1.9,0.49799698335351333,0.26286093503834196
2025-12-14 16:15:00,Strasbourg,Lorient,OU 1.5,Over,0.66466365002018,1.5045203690161764,1.9,0.49799698335351333,0.26286093503834196
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,3-6,0.4039625034898168,2.4754772815819233,3.0,0.07062917015648351,0.21188751046945042
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,3-6,0.4039625034898168,2.4754772815819233,3.0,0.07062917015648351,0.21188751046945042
2025-12-14 16:15:00,Strasbourg,Lorient,TG Interval,3-6,0.4039625034898168,2.4754772815819233,3.0,0.07062917015648351,0.21188751046945042
